Frontiers in Pediatrics, Life Sciences
Translational Neurodegeneration, Life Sciences
Journal of the American Geriatrics Society, Engineering & Technology
CHEST Critical Care, Multidisciplinary
Intensive Care Medicine, Life Sciences
American Journal of Physiology-Lung Cellular and Molecular Physiology, Life Sciences
Infection Control and Hospital Epidemiology, Multidisciplinary
Journal of Emergency Medicine, Life Sciences
Vaccine, Multidisciplinary
Human Vaccines & Immunotherapeutics, Multidisciplinary
Molecular Biomedicine, Life Sciences
iPolytech Journal, Multidisciplinary
Interdisciplinary Humanities and Communication Studies, Humanities
Clinical and Experimental Pediatrics, Life Sciences
Transplant International, Multidisciplinary
IJC Heart & Vasculature, Humanities
Journal of Chest Surgery, Engineering & Technology
JPPS (Jurnal Penelitian Pendidikan Sains), Engineering & Technology
Jurnal Pendidikan Fisika, Multidisciplinary
Molecular Therapy Oncology, Life Sciences
Journal of Imaging, Engineering & Technology
Archives of Medical Science - Atherosclerotic Diseases, Life Sciences
Transcription, Multidisciplinary
Organoid, Multidisciplinary
Advanced Healthcare Materials, Physical Sciences
Nature Biotechnology, Engineering & Technology
Journal of Food Science, Life Sciences
Journal of Quantitative Description Digital Media, Social Sciences
Drug Design Development and Therapy, Multidisciplinary
Clinical Interventions in Aging, Life Sciences
Journal of Ethnopharmacology, Life Sciences
Pain Management, Business & Economics
Neurospine, Life Sciences
Journal of Pain Research, Engineering & Technology
Regional Anesthesia & Pain Medicine, Engineering & Technology
Contemporary Clinical Trials Communications, Social Sciences
Hydrology and earth system sciences, Humanities
Hydrogeology Journal, Physical Sciences
The Depositional Record, Multidisciplinary
Amino Acids, Multidisciplinary
Meteoritics and Planetary Science, Multidisciplinary
American Journal of Biological Anthropology, Social Sciences
Earth and Planetary Physics, Humanities
Chemistry - A European Journal, Physical Sciences
Fluid dynamics & materials processing, Physical Sciences
Research in Autism, Multidisciplinary
The Journal of Nutritional Biochemistry, Physical Sciences
Advances in Biochemistry, Physical Sciences
In Silico Pharmacology, Life Sciences
Diabetic Medicine, Life Sciences
Biomedicine Hub, Life Sciences
Frontiers in Bioscience-Landmark, Multidisciplinary
Neurobiology of Stress, Life Sciences
FEMS Microbiology Ecology, Life Sciences
Heart Failure Reviews, Humanities
Ideguru Jurnal Karya Ilmiah Guru, Multidisciplinary
Cetta Jurnal Ilmu Pendidikan, Multidisciplinary
GURUKU Jurnal Pendidikan Profesi Guru, Multidisciplinary
Al - Azkiya Jurnal Ilmiah Pendidikan MI/SD, Multidisciplinary
Journal of Humanities Social Sciences and Education, Humanities
Engineering Science and Technology an International Journal, Engineering & Technology
Phyton, Multidisciplinary
Pakistan Journal of Intensive Care Medicine, Life Sciences
Journal of Saudi Chemical Society, Physical Sciences
Polyoxometalates, Multidisciplinary
Journal of Hepatocellular Carcinoma, Engineering & Technology
Stem Cell Research & Therapy, Multidisciplinary
Free Radical Biology and Medicine, Life Sciences
animal, Multidisciplinary
International Journal of Scientific World, Engineering & Technology
Molecular Human Reproduction, Multidisciplinary
ChemBioChem, Multidisciplinary
Developmental Biology, Life Sciences
Annals of Cardiac Anaesthesia, Multidisciplinary
Hematology in Clinical Practice, Life Sciences
Signal Transduction and Targeted Therapy, Engineering & Technology
ACS Nano, Multidisciplinary
Med-X, Multidisciplinary
The Innovation, Multidisciplinary
Diabetes and Vascular Disease Research, Multidisciplinary
Advanced NanoBiomed Research, Multidisciplinary
Diabetes Care, Multidisciplinary
Current Diabetes Reports, Multidisciplinary
The Medical Journal of Australia, Life Sciences
Pediatric Quality and Safety, Multidisciplinary
Health Care Transitions, Life Sciences
Pediatric Diabetes, Multidisciplinary
BJPsych Open, Multidisciplinary
Pharmacy, Multidisciplinary
Endocrine Practice, Multidisciplinary
Journal of Clinical & Translational Endocrinology, Life Sciences
The Science of Diabetes Self-Management and Care, Business & Economics
Annals of Pediatric Endocrinology & Metabolism, Multidisciplinary
Journal of Diabetes Research, Engineering & Technology
The Journal of Immunology, Life Sciences
Biological and Clinical Sciences Research Journal, Life Sciences
Informatics in Medicine Unlocked, Engineering & Technology
Journal of Critical Care, Engineering & Technology
Journal of Cell Science, Multidisciplinary
Advanced Biology, Life Sciences
NMR in Biomedicine, Life Sciences
PLoS Genetics, Life Sciences
Food and Chemical Toxicology, Physical Sciences
Journal of Clinical Hypertension, Life Sciences
Journal of Orthopaedic Translation, Engineering & Technology
Phytopathology Research, Life Sciences
Animal Science Journal, Multidisciplinary
BMJ Open Gastroenterology, Multidisciplinary
Innovative Surgical Sciences, Multidisciplinary
Langenbeck s Archives of Surgery, Multidisciplinary
Updates in Surgery, Multidisciplinary
Idarah Tarbawiyah Journal of Management in Islamic Education, Business & Economics
TOFEDU The Future of Education Journal, Social Sciences
CytoJournal, Multidisciplinary
Ore Geology Reviews, Physical Sciences
Forest Ecosystems, Engineering & Technology
Journal of Hazardous Materials, Physical Sciences
IFAC-PapersOnLine, Multidisciplinary
Jurnal Ekonomi Kreatif dan Manajemen Bisnis Digital, Multidisciplinary
Majapahit Journal of Islamic Finance and Management, Business & Economics
JOURNAL OF LANGUAGE, Engineering & Technology
INOVTEK POLBENG, Multidisciplinary
JURNAL MAHASISWA BK AN-NUR BERBEDA BERMAKNA MULIA, Multidisciplinary
Annals of Anatomy - Anatomischer Anzeiger, Multidisciplinary
Cardiovascular Pathology, Life Sciences
International Journal of Cardiology, Engineering & Technology
Journal of Vascular Surgery Venous and Lymphatic Disorders, Engineering & Technology
Acta Biomaterialia, Multidisciplinary
Molecular Neurobiology, Life Sciences
Photodiagnosis and Photodynamic Therapy, Multidisciplinary
Journal of Cheminformatics, Engineering & Technology
Bioresource Technology, Engineering & Technology
Renewable Energy, Physical Sciences
Corrosion Communications, Social Sciences
Journal of High Energy Physics, Physical Sciences
Oil and Gas Studies, Multidisciplinary
Biomedical Papers, Life Sciences
Philosophical Transactions of the Royal Society B Biological Sciences, Life Sciences
Diversity and Distributions, Multidisciplinary
Environmental sciences, Multidisciplinary
The Lancet Diabetes & Endocrinology, Multidisciplinary
Asian Journal of Endoscopic Surgery, Engineering & Technology
Journal of Gastrointestinal Oncology, Life Sciences
Journal of Hepato-Biliary-Pancreatic Sciences, Multidisciplinary
Surgical Endoscopy, Multidisciplinary
Endocrine Journal, Multidisciplinary
JTO Clinical and Research Reports, Life Sciences
Cancer Immunology Immunotherapy, Life Sciences
Case Reports in Oncology, Life Sciences
Pesquisa Agropecuária Tropical, Multidisciplinary
Horticultura Brasileira, Multidisciplinary
Veterinární Medicína, Multidisciplinary
Acta Technologica Agriculturae, Multidisciplinary
Journal of Chemical Technology and Metallurgy, Engineering & Technology
Baltic Journal of Economic Studies, Business & Economics
HepatoBiliary Surgery and Nutrition, Life Sciences
Gastroenterology Review, Engineering & Technology
World Journal of Gastrointestinal Endoscopy, Engineering & Technology
Quantum Information Processing, Multidisciplinary
The European Physical Journal Plus, Multidisciplinary
Journal of Algebra, Engineering & Technology
Bulletin of the London Mathematical Society, Physical Sciences
Journal of Algebraic Combinatorics, Engineering & Technology
Journal of Immunology Research, Life Sciences
Immunology, Life Sciences
Egyptian Journal of Medical Human Genetics, Life Sciences
The Egyptian Journal of Internal Medicine, Life Sciences
Microbiology Resource Announcements, Life Sciences
Egyptian Liver Journal, Multidisciplinary
Neuro-Oncology Practice, Life Sciences
BJOG An International Journal of Obstetrics & Gynaecology, Life Sciences
Social Science & Medicine, Social Sciences
Jurnal Pendidikan MIPA, Multidisciplinary
Andalasian International Journal of Applied Science Engineering and Technology, Engineering & Technology
Jurnal Penelitian dan Pengkajian Ilmu Pendidikan e-Saintika, Engineering & Technology
Journal of Agricultural Engineering, Humanities
European Child & Adolescent Psychiatry, Multidisciplinary
Open Heart, Humanities
CJC Pediatric and Congenital Heart Disease, Humanities
International Journal of Cardiology Congenital Heart Disease, Humanities
The Journal of Allergy and Clinical Immunology In Practice, Life Sciences
Global and Planetary Change, Multidisciplinary
Nonlinear processes in geophysics, Physical Sciences
npj natural hazards., Multidisciplinary
Advances in Climate Change Research, Physical Sciences
Acta Petrologica Sinica, Multidisciplinary
Magnetic Resonance Imaging, Multidisciplinary
Carbohydrate Polymers, Multidisciplinary
SciPost Physics, Physical Sciences
Animal Cells and Systems, Engineering & Technology
Journal of Animal Science and Technology, Engineering & Technology
Journal of Biochemical and Molecular Toxicology, Physical Sciences
Complex & Intelligent Systems, Engineering & Technology
International Journal of Interactive Multimedia and Artificial Intelligence, Humanities
Journal of Communications Software and Systems, Social Sciences
Information Sciences, Multidisciplinary
Online Social Networks and Media, Social Sciences
The Journal of Supercomputing, Engineering & Technology
Dermatology and Therapy, Multidisciplinary
Urology Annals, Multidisciplinary
Global Review of Islamic Economics and Business, Business & Economics
Society Jurnal Pengabdian Masyarakat, Multidisciplinary
International Journal for Science Review, Multidisciplinary
Journal of Biotechnology and Natural Science, Engineering & Technology
Landscape and Urban Planning, Multidisciplinary
SAE International journal of vehicle dynamics, stability, and NVH, Engineering & Technology
Journal of Neuroimmunology, Life Sciences
International Journal Of Humanities Education and Social Sciences (IJHESS), Humanities
International Journal of Business Law and Education, Business & Economics
International Journal of Innovative Technologies in Economy, Engineering & Technology
Polymer Composites, Multidisciplinary
Case Studies in Construction Materials, Physical Sciences
BMC Family Practice, Multidisciplinary
BMJ Open Diabetes Research & Care, Multidisciplinary
Journal of Diabetes Investigation, Engineering & Technology
Nursing Reports, Multidisciplinary
Pediatric Discovery, Multidisciplinary
Molecular Genetics & Genomic Medicine, Life Sciences
International Journal of Nursing Studies Advances, Engineering & Technology
International Journal of Oral Science, Multidisciplinary
Bone Research, Multidisciplinary
Journal of Oral Microbiology, Life Sciences
Applied Microbiology and Biotechnology, Engineering & Technology
Management and Organization Review, Business & Economics
Journal of Dental Sciences, Multidisciplinary
Lung Cancer Targets and Therapy, Multidisciplinary
Cell & Bioscience, Multidisciplinary
Dental Materials, Physical Sciences
Psychiatry Research, Multidisciplinary
American Journal of Ophthalmology Case Reports, Engineering & Technology
Alzheimer s & Dementia Diagnosis Assessment & Disease Monitoring, Multidisciplinary
Journal of Arid Environments, Engineering & Technology
River Research and Applications, Multidisciplinary
Journal of Groundwater Science and Engineering, Engineering & Technology
Land Use Policy, Social Sciences
Environment Development and Sustainability, Engineering & Technology
Global Food Security, Multidisciplinary
Cleaner Engineering and Technology, Engineering & Technology
Groundwater for Sustainable Development, Engineering & Technology
Environmental Development, Multidisciplinary
Sustainable Development, Engineering & Technology
Journal of Transport Geography, Social Sciences
Social Inclusion, Social Sciences
European Journal on Criminal Policy and Research, Social Sciences
Energy Reports, Physical Sciences
Journal of Retailing and Consumer Services, Engineering & Technology
Transportation Research Part D Transport and Environment, Humanities
Urban Planning, Multidisciplinary
GeoJournal, Multidisciplinary
European Transport Research Review, Engineering & Technology
Journal of Urban Mobility, Engineering & Technology
Crime Science, Multidisciplinary
Science and Technology of Advanced Materials, Engineering & Technology
Experimental and Therapeutic Medicine, Life Sciences
Small Business Economics, Business & Economics
Journal of Business Venturing, Business & Economics
Strategic Entrepreneurship Journal, Business & Economics
Scandinavian Journal of Public Administration, Engineering & Technology
Globalization and Health, Life Sciences
Russian Journal of Linguistics, Humanities
Open Cultural Studies, Humanities
Quaestio Rossica, Multidisciplinary
BAHASTRA, Multidisciplinary
Language Codification Competence Communication, Social Sciences
Eurasian Journal of Philology Science and Education, Social Sciences
Russian language studies, Multidisciplinary
International Journal of Multilingual Education, Social Sciences
Philological Class, Multidisciplinary
Science Progress, Multidisciplinary
Nursing Open, Multidisciplinary
Medicine International, Life Sciences
Pharmaceutical Biology, Life Sciences
Phytotherapy Research, Multidisciplinary
Oxidative Medicine and Cellular Longevity, Life Sciences
Cell Biochemistry and Function, Physical Sciences
American Journal of Hospice and Palliative Medicine®, Life Sciences
The Clinical Respiratory Journal, Life Sciences
Molecular Medicine Reports, Life Sciences
Molecular and Cellular Probes, Multidisciplinary
Journal of Thoracic Oncology, Life Sciences
The Lancet Infectious Diseases, Multidisciplinary
Nature Computational Science, Multidisciplinary
Journal of Computational Science, Multidisciplinary
Computers & Fluids, Engineering & Technology
Computer Methods in Applied Mechanics and Engineering, Engineering & Technology
npj Quantum Information, Multidisciplinary
Journal of Chemical Information and Modeling, Physical Sciences
Physical Chemistry Chemical Physics, Physical Sciences
Molecular Systems Design & Engineering, Engineering & Technology
Neurosurgical Review, Life Sciences
Clinical Anatomy, Life Sciences
Translational Research in Anatomy, Multidisciplinary
European Spine Journal, Multidisciplinary
Anatomy & Cell Biology, Life Sciences
BioMed Research International, Multidisciplinary
Forensic Science Medicine and Pathology, Life Sciences
Folia Morphologica, Multidisciplinary
Journal of Infrared Millimeter and Terahertz Waves, Engineering & Technology
JOURNAL OF RENEWABLE MATERIALS, Physical Sciences
KSCE Journal of Civil Engineering, Engineering & Technology
Journal of Advanced Concrete Technology, Engineering & Technology
Journal of Structural and Construction Engineering (Transactions of AIJ), Engineering & Technology
Soil Dynamics and Earthquake Engineering, Humanities
JA Clinical Reports, Life Sciences
Journal of Hard Tissue Biology, Life Sciences
Journal of the Japan Society of Powder and Powder Metallurgy, Engineering & Technology
WIT transactions on the built environment, Engineering & Technology
Japan Architectural Review, Engineering & Technology
Advances in Polymer Technology, Engineering & Technology
The Crop Journal, Multidisciplinary
Frontiers in Molecular Biosciences, Multidisciplinary
Acta Pharmacologica Sinica, Multidisciplinary
Advances in Materials Science and Engineering, Engineering & Technology
CHIMIA International Journal for Chemistry, Physical Sciences
Circular Economy and Sustainability, Engineering & Technology
Proceedings of the 6th Product Lifetimes and the Environment Conference (PLATE2025), Multidisciplinary
Environmental Innovation and Societal Transitions, Multidisciplinary
Cleaner Environmental Systems, Engineering & Technology
Molecular Therapy, Multidisciplinary
Neuroscience & Biobehavioral Reviews, Life Sciences
Seminars in Immunopathology, Life Sciences
Biomaterials, Physical Sciences
Chronobiology International, Life Sciences
Journal of Morphology, Engineering & Technology
Electronic Imaging, Engineering & Technology
Plant Methods, Multidisciplinary
The Plant Journal, Multidisciplinary
The international archives of the photogrammetry, remote sensing and spatial information sciences/International archives of the photogrammetry, remote sensing and spatial information sciences, Multidisciplinary
Cytoskeleton, Multidisciplinary
Plant Cell & Environment, Multidisciplinary
Proceedings of the Royal Society B Biological Sciences, Life Sciences
Agricultural and Forest Meteorology, Humanities
Physiologia Plantarum, Multidisciplinary
AoB Plants, Multidisciplinary
Rhizosphere, Multidisciplinary
Disaster Medicine and Public Health Preparedness, Life Sciences
The Plant Cell, Multidisciplinary
Mayo Clinic Proceedings, Multidisciplinary
Joint Bone Spine, Multidisciplinary
Postgraduate Medical Journal, Life Sciences
BDJ, Multidisciplinary
Journal of Surgical Research, Engineering & Technology
Gastroenterology Clinics of North America, Multidisciplinary
JAMA, Multidisciplinary
Obesity, Multidisciplinary
Current Obesity Reports, Multidisciplinary
Current Obstetrics and Gynecology Reports, Life Sciences
Obesity Pillars, Multidisciplinary
Progress in Cardiovascular Diseases, Multidisciplinary
Expert Review of Endocrinology & Metabolism, Engineering & Technology
Advances in Redox Research, Multidisciplinary
Journal of Agricultural and Food Chemistry, Humanities
Thrombosis Journal, Multidisciplinary
Journal of interventional medicine, Life Sciences
Clinical and Applied Thrombosis/Hemostasis, Life Sciences
Frontiers in Materials, Physical Sciences
Critical Reviews in Oncology/Hematology, Life Sciences
Oncology Letters, Life Sciences
SLAS TECHNOLOGY, Engineering & Technology
IBRO Neuroscience Reports, Life Sciences
Phenomics, Multidisciplinary
Acta Epileptologica, Multidisciplinary
Journal of Radiation Research and Applied Sciences, Multidisciplinary
Brain Research, Engineering & Technology
Insights into Imaging, Multidisciplinary
Diagnostic and Interventional Imaging, Multidisciplinary
Contrast Media & Molecular Imaging, Social Sciences
Journal of Oncology, Life Sciences
Diagnostic and Interventional Radiology, Multidisciplinary
Diabetes Therapy, Multidisciplinary
Journal of Paediatrics and Child Health, Life Sciences
Nature Physics, Physical Sciences
The European Physical Journal E, Multidisciplinary
Journal of Theoretical Biology, Life Sciences
MRS Bulletin, Multidisciplinary
Developments in the Built Environment, Multidisciplinary
International Journal of Applied Linguistics, Humanities
Energy Informatics, Engineering & Technology
Fruit Research, Multidisciplinary
Physiology and Molecular Biology of Plants, Life Sciences
Computer Modeling in Engineering & Sciences, Engineering & Technology
Tehnicki vjesnik - Technical Gazette, Multidisciplinary
BMC Bioinformatics, Engineering & Technology
Genomics, Life Sciences
Translational Cancer Research, Multidisciplinary
Cancer Biology and Medicine, Life Sciences
Cellular & Molecular Biology Letters, Life Sciences
Journal of Cancer, Engineering & Technology
Holistic Integrative Oncology, Life Sciences
Thoracic Cancer, Multidisciplinary
Translational research, Multidisciplinary
Lung Cancer, Multidisciplinary
Diabetic Nephropathy, Multidisciplinary
Archives of Gerontology and Geriatrics, Multidisciplinary
URINE, Multidisciplinary
Journal of Molecular Medicine, Life Sciences
European Journal of Medicinal Chemistry, Physical Sciences
Investigative and Clinical Urology, Life Sciences
Petroleum Science, Multidisciplinary
Neural Regeneration Research, Multidisciplinary
Asia-Pacific Journal of Ophthalmology, Engineering & Technology
Lipids in Health and Disease, Life Sciences
Neuroprotection/Neuroprotection (Chichester, England. Print), Life Sciences
Depression and Anxiety, Multidisciplinary
Integrative Cancer Therapies, Multidisciplinary
Current Problems in Cardiology, Multidisciplinary
Journal of Investigative Medicine High Impact Case Reports, Life Sciences
IHJ Cardiovascular Case Reports (CVCR), Multidisciplinary
AME Case Reports, Multidisciplinary
Advances in Medical Education and Practice, Social Sciences
American Journal of Medical Case Reports, Life Sciences
Ochsner Journal, Multidisciplinary
Open Mind, Multidisciplinary
Cognitive Science, Multidisciplinary
Brain Structure and Function, Engineering & Technology
NeuroImage, Life Sciences
Neuropsychologia, Life Sciences
Hearing Research, Multidisciplinary
Memory & Cognition, Multidisciplinary
Brain and Language, Engineering & Technology
Trends in Hearing, Multidisciplinary
Journal of Psychiatry and Neuroscience, Life Sciences
Journal of Substance Abuse Treatment, Engineering & Technology
International Journal of Mental Health Systems, Engineering & Technology
European Neuropsychopharmacology, Life Sciences
MAUSAM, Multidisciplinary
Journal of Nanoparticle Research, Humanities
Journal of Advanced Scientific Research, Engineering & Technology
Journal of Ayurveda and Integrated Medical Sciences, Life Sciences
Bioprocess and Biosystems Engineering, Engineering & Technology
Desalination and Water Treatment, Multidisciplinary
PhotoniX, Multidisciplinary
BioMedical Engineering OnLine, Engineering & Technology
ISA Transactions, Engineering & Technology
International Journal of Innovative Research in Medical Science, Life Sciences
Journal of Multimorbidity and Comorbidity, Engineering & Technology
Quantum Journal of Engineering Science and Technology, Engineering & Technology
Frontiers in Communications and Networks, Social Sciences
Advances in Social Work, Social Sciences
Health & Social Care in the Community, Social Sciences
Physiological Reports, Multidisciplinary
Muscle & Nerve, Multidisciplinary
SLEEP, Multidisciplinary
Frontiers in Sleep, Multidisciplinary
Pharmacology & Therapeutics, Life Sciences
Diabetes, Multidisciplinary
Function, Multidisciplinary
Veterinary Record, Life Sciences
Chemico-Biological Interactions, Life Sciences
European Journal of Clinical Nutrition, Life Sciences
Nature Aging, Multidisciplinary
Analytical and Bioanalytical Chemistry, Physical Sciences
Lara D. Veeken, Multidisciplinary
Cold Spring Harbor Protocols, Multidisciplinary
Autophagy Reports, Multidisciplinary
JBMR Plus, Multidisciplinary
JCSM Rapid Communications, Social Sciences
Clinical Nutrition, Life Sciences
Biochimica et Biophysica Acta (BBA) - Molecular Basis of Disease, Multidisciplinary
Skeletal Muscle, Multidisciplinary
Frontiers in Aging, Multidisciplinary
Cellular and Molecular Bioengineering, Engineering & Technology
Clinical Parkinsonism & Related Disorders, Life Sciences
Animal nutrition, Life Sciences
Nature Plants, Multidisciplinary
Frontiers in Soil Science, Multidisciplinary
Chinese Medicine, Life Sciences
Postharvest Biology and Technology, Engineering & Technology
Algebra & Number Theory, Multidisciplinary
Biology Direct, Life Sciences
Clinical & Translational Oncology, Life Sciences
Clinical Epigenetics, Life Sciences
PLANT PHYSIOLOGY, Life Sciences
Plant Communications, Social Sciences
Transboundary and Emerging Diseases, Multidisciplinary
Plant Biotechnology Journal, Engineering & Technology
Stem Cells, Multidisciplinary
Grass Research, Multidisciplinary
Environmental and Experimental Botany, Life Sciences
Emergency Medicine International, Life Sciences
Bioinorganic Chemistry and Applications, Physical Sciences
The Journal of Poultry Science, Multidisciplinary
Journal of Molecular Cell Biology, Life Sciences
Translational Andrology and Urology, Multidisciplinary
Immunity Inflammation and Disease, Multidisciplinary
Advances in Radiation Oncology, Life Sciences
Journal of Clinical Laboratory Analysis, Life Sciences
Bioengineered, Multidisciplinary
EMBO Reports, Multidisciplinary
CNS Neuroscience & Therapeutics, Life Sciences
American Journal of Neuroradiology, Life Sciences
International Journal of Biology and Life Sciences, Life Sciences
Asian Social Science, Social Sciences
Current Opinion in Virology, Life Sciences
Disease Markers, Multidisciplinary
MycoKeys, Multidisciplinary
MedComm – Future Medicine, Life Sciences
Med Research, Multidisciplinary
Cancer Biology & Therapy, Life Sciences
Respiratory Medicine Case Reports, Life Sciences
Geomechanics and Geophysics for Geo-Energy and Geo-Resources, Physical Sciences
Rice, Multidisciplinary
Journal of Industrial Microbiology & Biotechnology, Engineering & Technology
Clinical and Experimental Obstetrics & Gynecology, Life Sciences
Planta, Multidisciplinary
Rice Science, Multidisciplinary
Legume Science, Multidisciplinary
Bioresources and Bioprocessing, Multidisciplinary
Earth and Space Science, Humanities
Computer Systems Science and Engineering, Engineering & Technology
Communications in Mathematical Research, Social Sciences
Complexity, Multidisciplinary
Journal of Computational Mathematics and Data Science, Physical Sciences
ASEAN Engineering Journal, Engineering & Technology
Composites Part C Open Access, Humanities
Mechatronics Electrical Power and Vehicular Technology, Engineering & Technology
Journal Of Computer Networks Architecture and High Performance Computing, Engineering & Technology
MESIN, Multidisciplinary
British Journal of Pharmacology, Life Sciences
PRiMER, Multidisciplinary
Clinical Cosmetic and Investigational Dermatology, Life Sciences
Journal of Applied Pharmaceutical Science, Life Sciences
Paediatrica Indonesiana, Multidisciplinary
Cermin Dunia Kedokteran, Multidisciplinary
Medical Journal of Indonesia, Life Sciences
Ophthalmologica Indonesiana, Multidisciplinary
eJournal Kedokteran Indonesia, Multidisciplinary
Bali Dermatology Venereology and Aesthetic Journal, Multidisciplinary
Oral Oncology, Life Sciences
Laryngoscope Investigative Otolaryngology, Multidisciplinary
Plastic and Aesthetic Research, Multidisciplinary
World Journal of Otorhinolaryngology - Head and Neck Surgery, Engineering & Technology
Journal of Immunological Methods, Engineering & Technology
Disaster and Emergency Medicine Journal, Life Sciences
Cell stem cell, Multidisciplinary
Cryobiology, Life Sciences
Science, Multidisciplinary
Nature Immunology, Life Sciences
Trends in Genetics, Life Sciences
Annual Review of Biomedical Data Science, Life Sciences
Journal of International Financial Management and Accounting, Business & Economics
Expert Systems, Engineering & Technology
Advanced Sensor Research, Multidisciplinary
Advanced Engineering Materials, Engineering & Technology
Journal of Inorganic Materials, Physical Sciences
Energy & environment materials, Physical Sciences
Aggregate, Multidisciplinary
Biomedical Instrumentation, Life Sciences
Transactions of Materials Research, Physical Sciences
Joule, Multidisciplinary
Acta Materialia, Multidisciplinary
Materials Today Catalysis, Physical Sciences
Rare Metals, Multidisciplinary
SciPost Physics Core, Physical Sciences
Applied Surface Science, Multidisciplinary
Shape Memory and Superelasticity, Multidisciplinary
Materials Today Physics, Physical Sciences
Journal of Crystal Growth, Engineering & Technology
Journal of Materiomics, Engineering & Technology
Moore and More, Multidisciplinary
Journal of Audiology & Otology, Engineering & Technology
Environmental Challenges, Multidisciplinary
Journal of Petroleum Exploration and Production Technology, Engineering & Technology
Environmental and Sustainability Indicators, Engineering & Technology
Cancer Nanotechnology, Engineering & Technology
Evidence-based Complementary and Alternative Medicine, Life Sciences
DARU Journal of Pharmaceutical Sciences, Life Sciences
Iranian Biomedical Journal, Life Sciences
Acta Parasitologica, Multidisciplinary
Plant Stress, Multidisciplinary
Toxicology Reports, Multidisciplinary
Regenerative Therapy, Multidisciplinary
Journal of NeuroVirology, Life Sciences
Bioinformatics and Biology Insights, Engineering & Technology
Current Therapeutic Research, Multidisciplinary
Arquivos de Neuro-Psiquiatria, Life Sciences
Cell and Tissue Research, Multidisciplinary
BioFactors, Multidisciplinary
Galen Medical Journal, Life Sciences
Food Science and Technology, Engineering & Technology
Archives of Medical Science, Life Sciences
Biomarker Research, Multidisciplinary
Aging, Multidisciplinary
Redox Biology, Life Sciences
Med, Multidisciplinary
Therapeutic Advances in Hematology, Multidisciplinary
Microbes and Infection, Multidisciplinary
Emerging infectious diseases, Multidisciplinary
Mycoses, Multidisciplinary
Genome Research, Multidisciplinary
HemaSphere, Multidisciplinary
Digestive Diseases and Sciences, Multidisciplinary
Epigenetics & Chromatin, Life Sciences
Acta Neuropathologica, Life Sciences
Organisms Diversity & Evolution, Multidisciplinary
Journal of Hepatology, Engineering & Technology
International Journal of Clinical Practice, Life Sciences
Journal of Medical Systems, Engineering & Technology
Graefe s Archive for Clinical and Experimental Ophthalmology, Life Sciences
Dermatology, Multidisciplinary
Geriatric Orthopaedic Surgery & Rehabilitation, Multidisciplinary
Targeted Oncology, Life Sciences
SKINdeep, Multidisciplinary
Stroke and Vascular Neurology, Life Sciences
Wiener klinische Wochenschrift, Multidisciplinary
American Journal of Hematology, Engineering & Technology
Liver Cancer, Multidisciplinary
Journal of Gastroenterology, Engineering & Technology
Hepatology Research, Multidisciplinary
Internal Medicine, Life Sciences
Interventional Radiology, Multidisciplinary
BJR|Open, Multidisciplinary
In Vivo, Multidisciplinary
Nippon Onkyo Gakkaishi/Acoustical science and technology/Nihon Onkyo Gakkaishi, Engineering & Technology
Pathology International, Life Sciences
Frontiers in Applied Mathematics and Statistics, Physical Sciences
Oxford Medical Case Reports, Life Sciences
BJR|case reports, Multidisciplinary
Journal of Nihon University Medical Association, Life Sciences
Hepatology Communications, Social Sciences
The Kaohsiung Journal of Medical Sciences, Life Sciences
International Orthopaedics, Multidisciplinary
Gastroenterology Research and Practice, Multidisciplinary
The Journal of the Japanese Society of Clinical Cytology, Life Sciences
Clinical Journal of Gastroenterology, Life Sciences
Digestion, Multidisciplinary
JALL (Journal of Applied Linguistics and Literacy), Humanities
Journal on English as a Foreign Language, Multidisciplinary
Journal of Cardiac Failure, Engineering & Technology
JACC Heart Failure, Humanities
Molecular Genetics and Metabolism, Life Sciences
The Journal of Heart and Lung Transplantation, Humanities
Cardiovascular Digital Health Journal, Life Sciences
The Lancet Digital Health, Life Sciences
Nature reviews. Immunology, Life Sciences
Journal of Cardiovascular Electrophysiology, Life Sciences
Rheumatic Disease Clinics of North America, Multidisciplinary
Conservation Science and Practice, Multidisciplinary
Pediatric Rheumatology, Multidisciplinary
Nature Reviews Rheumatology, Multidisciplinary
Japanese Journal of Clinical Oncology, Life Sciences
Therapeutic Advances in Gastroenterology, Multidisciplinary
touchREVIEWS in Oncology & Haematology, Life Sciences
Palliative Care Research, Multidisciplinary
International Journal of Clinical Oncology, Life Sciences
Food Chemistry, Physical Sciences
Infection and Immunity, Multidisciplinary
npj Antimicrobials and Resistance, Multidisciplinary
Paediatric Respiratory Reviews, Engineering & Technology
Archives of Disease in Childhood Fetal & Neonatal, Multidisciplinary
The Journal of Pediatrics, Life Sciences
Signal Processing, Engineering & Technology
Journal of Autism and Developmental Disorders, Engineering & Technology
Acta Paediatrica, Multidisciplinary
Clinical & Experimental Immunology, Life Sciences
npj Regenerative Medicine, Life Sciences
ACS Central Science, Multidisciplinary
Drug Delivery and Translational Research, Multidisciplinary
Journal of Condensed Matter Nuclear Science, Multidisciplinary
Taiwanese Journal of Obstetrics and Gynecology, Engineering & Technology
Sustainable Futures, Engineering & Technology
Biocell, Multidisciplinary
American Journal of Biomedical Science & Research, Life Sciences
Developmental Cell, Multidisciplinary
Genes & Development, Multidisciplinary
